Productid,ProductCategory,Occasion,Material,Karigari,Karigari_description,Product_description,Full_Description
100,Sarees,Festive,Pure silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Pure silk
101,Sarees,Festive,Pure silk,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Pure silk
102,Sarees,Festive,Pure silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Pure silk
103,Sarees,Festive,Georgette,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Georgette
104,Sarees,Festive,Georgette,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Georgette
105,Sarees,Festive,Georgette,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Georgette
106,Sarees,Festive,Semi crepe,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Semi crepe
107,Sarees,Festive,Semi crepe,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Semi crepe
108,Sarees,Festive,Semi crepe,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Festive-Semi crepe
109,Sarees,Mehendi,Pure silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Pure silk
110,Sarees,Mehendi,Pure silk,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Pure silk
111,Sarees,Mehendi,Pure silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Pure silk
112,Sarees,Mehendi,Georgette,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Georgette
113,Sarees,Mehendi,Georgette,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Georgette
114,Sarees,Mehendi,Georgette,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Georgette
115,Sarees,Mehendi,Semi crepe,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Semi crepe
116,Sarees,Mehendi,Semi crepe,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Semi crepe
117,Sarees,Mehendi,Semi crepe,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Mehendi-Semi crepe
118,Sarees,Wedding,Pure silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Wedding-Pure silk
119,Sarees,Wedding,Pure silk,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Wedding-Pure silk
120,Sarees,Wedding,Pure silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Wedding-Pure silk
121,Sarees,Wedding,Georgette,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Wedding-Georgette
122,Sarees,Wedding,Georgette,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Wedding-Georgette
123,Sarees,Wedding,Georgette,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Wedding-Georgette
124,Sarees,Wedding,Semi crepe,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Wedding-Semi crepe
125,Sarees,Wedding,Semi crepe,Swarovski,"High-quality, precision-cut crystals that create a dazzling and sophisticated appearance on garments.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Wedding-Semi crepe
126,Sarees,Wedding,Semi crepe,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Iconic Indian draped garments offering timeless elegance, available in rich fabrics and adorned with intricate designs.",Sarees-Wedding-Semi crepe
127,Lehanga,Bridal,Net,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Bridal-Net
128,Lehanga,Bridal,Net,Threadwork,"Intricate embroidery crafted with colorful or metallic threads, showcasing exquisite craftsmanship.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Bridal-Net
129,Lehanga,Bridal,Net,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Bridal-Net
130,Lehanga,Bridal,Silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Bridal-Silk
131,Lehanga,Bridal,Silk,Threadwork,"Intricate embroidery crafted with colorful or metallic threads, showcasing exquisite craftsmanship.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Bridal-Silk
132,Lehanga,Bridal,Silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Bridal-Silk
133,Lehanga,Reception,Net,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Reception-Net
134,Lehanga,Reception,Net,Threadwork,"Intricate embroidery crafted with colorful or metallic threads, showcasing exquisite craftsmanship.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Reception-Net
135,Lehanga,Reception,Net,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Reception-Net
136,Lehanga,Reception,Silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Reception-Silk
137,Lehanga,Reception,Silk,Threadwork,"Intricate embroidery crafted with colorful or metallic threads, showcasing exquisite craftsmanship.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Reception-Silk
138,Lehanga,Reception,Silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Reception-Silk
139,Lehanga,Haldi,Net,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Haldi-Net
140,Lehanga,Haldi,Net,Threadwork,"Intricate embroidery crafted with colorful or metallic threads, showcasing exquisite craftsmanship.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Haldi-Net
141,Lehanga,Haldi,Net,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Haldi-Net
142,Lehanga,Haldi,Silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Haldi-Silk
143,Lehanga,Haldi,Silk,Threadwork,"Intricate embroidery crafted with colorful or metallic threads, showcasing exquisite craftsmanship.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Haldi-Silk
144,Lehanga,Haldi,Silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Traditional Indian skirts paired with blouses and dupattas, featuring vibrant colors and stunning handcrafted details.",Lehanga-Haldi-Silk
145,Gowns,Festive,Net,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Festive-Net
146,Gowns,Festive,Net,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Festive-Net
147,Gowns,Festive,Net,Stonework,"Decorative designs using small, polished stones to add a sparkling, luxurious look to the fabric.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Festive-Net
148,Gowns,Festive,Raw Silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Festive-Raw Silk
149,Gowns,Festive,Raw Silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Festive-Raw Silk
150,Gowns,Festive,Raw Silk,Stonework,"Decorative designs using small, polished stones to add a sparkling, luxurious look to the fabric.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Festive-Raw Silk
151,Gowns,Festive,Banarasi Silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Festive-Banarasi Silk
152,Gowns,Festive,Banarasi Silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Festive-Banarasi Silk
153,Gowns,Festive,Banarasi Silk,Stonework,"Decorative designs using small, polished stones to add a sparkling, luxurious look to the fabric.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Festive-Banarasi Silk
154,Gowns,Cocktail,Net,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Cocktail-Net
155,Gowns,Cocktail,Net,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Cocktail-Net
156,Gowns,Cocktail,Net,Stonework,"Decorative designs using small, polished stones to add a sparkling, luxurious look to the fabric.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Cocktail-Net
157,Gowns,Cocktail,Raw Silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Cocktail-Raw Silk
158,Gowns,Cocktail,Raw Silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Cocktail-Raw Silk
159,Gowns,Cocktail,Raw Silk,Stonework,"Decorative designs using small, polished stones to add a sparkling, luxurious look to the fabric.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Cocktail-Raw Silk
160,Gowns,Cocktail,Banarasi Silk,Zariwork,"Traditional Indian embroidery using fine metallic threads, often gold or silver, to create rich, ornate designs.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Cocktail-Banarasi Silk
161,Gowns,Cocktail,Banarasi Silk,Sequins,"Tiny, flat, reflective embellishments sewn onto fabric to create a shimmering effect, perfect for festive attire.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Cocktail-Banarasi Silk
162,Gowns,Cocktail,Banarasi Silk,Stonework,"Decorative designs using small, polished stones to add a sparkling, luxurious look to the fabric.","Elegant long dresses that combine traditional Indian artistry with contemporary designs, perfect for special occasions.",Gowns-Cocktail-Banarasi Silk
